id	DESeq2_logFC	DESeq2_padj	edgeR_logFC	edgeR_padj	maxPadj	minPadj
SFRP1	-13.18368366296	2.53126733024732e-117	-13.0591186428011	2.13648764416931e-186	2.53126733024732e-117	2.13648764416931e-186
CLDN6	-15.5946710214238	1.45431511956659e-40	-15.3314856535957	2.79901974055987e-185	1.45431511956659e-40	2.79901974055987e-185
IRF4	8.47535064456179	0	8.53175573258316	2.13812298947653e-184	2.13812298947653e-184	0
LCP1	10.2135161000121	0	10.2706737603472	2.17291207445768e-182	2.17291207445768e-182	0
NCKAP1L	11.4270261624494	1.27551875938844e-128	11.42293614153	5.2117679960084e-181	1.27551875938844e-128	5.2117679960084e-181
PODXL	-9.92713707393291	0	-9.8627435915832	7.00426987927253e-180	7.00426987927253e-180	0
SP100	10.1107649826224	2.02383567981254e-199	10.1426976068276	1.22061900565737e-177	1.22061900565737e-177	2.02383567981254e-199
TDGF1	-15.7435272473847	6.03659490882474e-39	-16.6092829111447	2.57259540182769e-175	6.03659490882474e-39	2.57259540182769e-175
CCL3	15.1009371181328	4.42053648291795e-46	15.5730574047787	1.13452392014739e-174	4.42053648291795e-46	1.13452392014739e-174
IFI44L	14.2935900092443	2.47878923704274e-41	14.0054943192961	1.18734764779515e-174	2.47878923704274e-41	1.18734764779515e-174
DPPA4	-15.8272796119335	3.17051655289152e-39	-16.6930595054896	1.65994967329231e-174	3.17051655289152e-39	1.65994967329231e-174
MIR155HG	13.6593523380037	2.77328711704694e-103	13.6015363220429	4.12054775929489e-174	2.77328711704694e-103	4.12054775929489e-174
FSTL1	-11.3393264889062	2.92031001537676e-183	-11.253038203512	1.973031677371e-173	1.973031677371e-173	2.92031001537676e-183
SLAMF7	14.1719656471971	3.6825276736751e-43	13.8875822400888	2.25562543963029e-173	3.6825276736751e-43	2.25562543963029e-173
LSP1	13.642659710766	3.12310999092794e-93	13.5751765296706	2.10024047596182e-172	3.12310999092794e-93	2.10024047596182e-172
SLC7A8	-14.572072751079	9.86178000359583e-36	-14.3097879071101	1.73598960196119e-171	9.86178000359583e-36	1.73598960196119e-171
SLAMF1	15.1787533696805	4.74472063818883e-46	15.647444812653	3.28518018822846e-171	4.74472063818883e-46	3.28518018822846e-171
FCRLA	14.907760158963	6.74887990291677e-45	15.3770777646026	7.9469775792478e-171	6.74887990291677e-45	7.9469775792478e-171
KDR	-14.4627075282067	3.66951632025059e-35	-14.2142803172806	3.10352504369572e-170	3.66951632025059e-35	3.10352504369572e-170
BLNK	13.7405112795807	5.22632205405551e-39	13.4617204224515	3.55356736255104e-170	5.22632205405551e-39	3.55356736255104e-170
